% Model,MFT_5_5_1.mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Version,COMSOL 6.1.0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Date,"Apr 28 2024, 17:52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Table,Table 4 - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% hw1 (mm),hw2 (mm),dw1 (mm),dw2 (mm),lcs (mm),dcs (mm),dww_ii_x (mm),dww_oo_x (mm),dww_x (mm),lcore_x1 (mm),lcore_x2 (mm),lcore_y1 (mm),lcore_y2 (mm),dc2c (mm),dsm_i (mm),Nlayer_analysis_i,thick_first_layer_i,thick_first_layer_o,Nlayer_analysis_o,dsm_o (mm),freq,mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J)
50,40,0.1,0.1,68,30,0.3,0.1,3,3,3,4,5.5,0,1,1,0.1,0.1,1,1,10,0.000953769,0.000953084,0.000958878,0.000982133,0.00103946,0,0.00140381,0.00141394,0.00142352,0.00143262,0.00144244,0,6.07101E-08,5.8316E-08,5.30868E-08,4.47425E-08,3.30496E-08,0,8.76883E-08,9.42041E-08,9.88274E-08,1.01535E-07,1.02323E-07,0
40,35,0.2,0.3,62,26,0.3,0.1,5.5,3.5,3.5,2,3.5,0,1,1,0.1,0.1,2,1,10,0.000622713,0.000614182,0.000610927,0.00061316,0.000622694,0,0.000728234,0.000681274,0.000653686,0.00064525,0.000661846,0,1.31586E-07,1.2903E-07,1.22523E-07,1.12074E-07,9.76188E-08,0,1.31928E-07,1.46178E-07,1.5631E-07,1.622E-07,1.6356E-07,0
25,25,0.3,0.2,78,32,0.3,0.1,5,4,3,3,6,0,1,2,0.1,0.1,1,1,10,0.00105607,0.00100109,0.000987434,0.00100078,0.00103857,0,0.00147057,0.00147474,0.00148507,0.00150086,0.00152772,0,2.1519E-07,2.12601E-07,2.00494E-07,1.79656E-07,1.50071E-07,0,1.93872E-07,2.10678E-07,2.22362E-07,2.28769E-07,2.2979E-07,0
45,40,0.2,0.1,26,12,0.3,0.3,0.5,1.5,4,4,5,0,1,1,0.1,0.1,1,1,10,0.000217681,0.000218994,0.000224515,0.000243805,0.000296002,0,0.000541925,0.000556062,0.000570572,0.000584734,0.000598255,0,1.70533E-08,1.57243E-08,1.28009E-08,8.00412E-09,9.16894E-10,0,1.01067E-08,1.58478E-08,2.01289E-08,2.28998E-08,2.4106E-08,0
40,30,0.3,0.1,72,28,0.2,0.1,1.5,2.5,3,4,5.5,0,1,2,0.1,0.1,1,1,10,0.000432344,0.000428226,0.000459486,0.000586727,0.000969955,0,0.00174936,0.00176449,0.00177904,0.00179285,0.00180664,0,5.1613E-08,4.82989E-08,4.08426E-08,2.79827E-08,5.22002E-09,0,7.7494E-08,8.58355E-08,9.17927E-08,9.53474E-08,9.64916E-08,0
55,40,0.2,0.3,74,22,0.3,0.1,2.5,2.5,5,1,3.5,0,1,1,0.1,0.1,2,1,10,0.00041005,0.000410367,0.000426215,0.000486679,0.000654122,0,0.000580803,0.000545813,0.000525953,0.000522815,0.000541314,0,5.54167E-08,5.29529E-08,4.75611E-08,3.83623E-08,2.3822E-08,0,7.12344E-08,8.31777E-08,9.17601E-08,9.68453E-08,9.81402E-08,0
60,40,0.1,0.2,54,14,0.3,0.1,5,2.5,4.5,3.5,3,0,1,1,0.1,0.1,1,1,10,0.000534611,0.000537977,0.000548482,0.000577457,0.00064271,0,0.000616707,0.000614934,0.000617651,0.000624624,0.000640099,0,4.97217E-08,4.83156E-08,4.52246E-08,4.01544E-08,3.28906E-08,0,9.69245E-08,1.039E-07,1.08732E-07,1.11337E-07,1.11625E-07,0
40,25,0.3,0.3,42,16,0.3,0.2,1.5,3.5,6,2,4,0,1,2,0.1,0.1,2,1,10,0.000274077,0.000274063,0.000301544,0.000417342,0.000813158,0,0.000620648,0.000600764,0.000594061,0.000601629,0.000625933,0,4.23167E-08,3.9797E-08,3.42658E-08,2.45477E-08,4.76018E-09,0,5.649E-08,7.1738E-08,8.26632E-08,8.90664E-08,9.05228E-08,0
70,60,0.3,0.2,46,28,0.2,0.2,1,4,3,2,5.5,0,1,2,0.1,0.1,1,1,10,0.000198637,0.000201641,0.000218678,0.000264525,0.000379582,0,0.000394125,0.000391067,0.000391641,0.000395664,0.000403882,0,2.60534E-08,2.42815E-08,2.04086E-08,1.40967E-08,4.20643E-09,0,2.35199E-08,3.1131E-08,3.67488E-08,4.0314E-08,4.17494E-08,0
25,20,0.3,0.2,30,40,0.3,0.3,2.5,4,5.5,1,5,0,1,2,0.1,0.1,1,1,10,0.00074099,0.000705853,0.000726943,0.000795254,0.000950778,0,0.00148531,0.00147821,0.00148271,0.00149659,0.00152383,0,1.26372E-07,1.22727E-07,1.11616E-07,9.32932E-08,6.68045E-08,0,9.76749E-08,1.22712E-07,1.40191E-07,1.49874E-07,1.51462E-07,0
